Satisfaction Score,Schedule Pacing,Timestamp,Track,Year,location,week
10,4.0,7/29/2016 1:08:46,Unknown,2016,TP,6
10,3.0,7/29/2016 1:11:16,Unknown,2016,TP,6
10,3.0,7/29/2016 1:13:23,Unknown,2016,TP,6
8,3.0,7/29/2016 1:13:56,Unknown,2016,TP,6
8,3.0,7/29/2016 1:17:27,Unknown,2016,TP,6
6,4.0,7/29/2016 1:22:25,Unknown,2016,TP,6
6,3.0,7/29/2016 1:27:55,Unknown,2016,TP,6
10,2.0,7/29/2016 1:28:54,Unknown,2016,TP,6
8,4.0,7/29/2016 1:29:23,Unknown,2016,TP,6
10,4.0,7/29/2016 1:46:49,Unknown,2016,TP,6
10,3.0,7/29/2016 21:20:05,Unknown,2016,TP,6
8,3.0,7/8/2016 6:21:11,Apps,2016,NY,3
10,3.0,7/8/2016 6:21:29,Apps,2016,NY,3
8,3.0,7/8/2016 6:21:35,Intro,2016,NY,3
10,3.0,7/8/2016 6:21:46,Apps,2016,NY,3
8,2.0,7/8/2016 6:22:10,Apps,2016,NY,3
8,4.0,7/8/2016 6:22:35,Games,2016,NY,3
8,4.0,7/8/2016 6:22:50,Intro,2016,NY,3
10,3.0,7/8/2016 6:23:09,Apps,2016,NY,3
8,4.0,7/8/2016 6:23:28,Games,2016,NY,3
8,4.0,7/8/2016 6:23:49,Intro,2016,NY,3
8,4.0,7/8/2016 6:23:50,Games,2016,NY,3
8,4.0,7/8/2016 6:24:25,Apps,2016,NY,3
8,3.0,7/8/2016 6:26:03,Apps,2016,NY,3
8,3.0,7/8/2016 6:26:30,Games,2016,NY,3
10,4.0,7/8/2016 6:26:40,Apps,2016,NY,3
8,3.0,7/8/2016 6:26:49,Apps,2016,NY,3
8,4.0,7/8/2016 6:27:01,Games,2016,NY,3
10,4.0,7/8/2016 6:27:14,Games,2016,NY,3
8,4.0,7/8/2016 6:27:31,Intro,2016,NY,3
8,4.0,7/8/2016 6:27:49,Apps,2016,NY,3
10,3.0,7/8/2016 6:28:49,Games,2016,NY,3
6,4.0,7/8/2016 6:28:56,Intro,2016,NY,3
10,3.0,7/8/2016 6:29:05,Apps,2016,NY,3
10,3.0,7/8/2016 6:33:10,Apps,2016,NY,3
8,4.0,7/8/2016 6:36:23,Intro,2016,NY,3
10,3.0,7/8/2016 6:36:36,Games,2016,NY,3
10,3.0,7/8/2016 6:38:24,Games,2016,NY,3
8,3.0,7/8/2016 12:14:54,Apps,2016,NY,3
10,3.0,7/31/2016 8:43:57,Games,2016,LA,6
10,3.0,7/31/2016 11:28:09,Intro,2016,LA,6
6,1.0,7/31/2016 13:22:31,Games,2016,LA,6
2,3.0,8/1/2016 1:39:51,Games,2016,LA,6
10,3.0,8/1/2016 9:40:14,Intro,2016,LA,6
10,3.0,8/1/2016 9:40:14,Intro,2016,LA,6
10,3.0,8/1/2016 10:03:22,Games,2016,LA,6
8,3.0,8/1/2016 10:04:06,Games,2016,LA,6
8,4.0,8/1/2016 10:06:45,Intro,2016,LA,6
8,4.0,8/1/2016 11:22:56,Games,2016,LA,6
6,3.0,NO TIMESTAMP,Apps,2016,SF,5
8,3.0,NO TIMESTAMP,Apps,2016,SF,5
8,3.0,NO TIMESTAMP,Apps,2016,SF,5
8,4.0,NO TIMESTAMP,Apps,2016,SF,5
6,3.0,NO TIMESTAMP,Apps,2016,SF,5
10,3.0,NO TIMESTAMP,Apps,2016,SF,5
6,2.0,NO TIMESTAMP,Apps,2016,SF,5
10,3.0,NO TIMESTAMP,Apps,2016,SF,5
2,3.0,NO TIMESTAMP,Apps,2016,SF,5
8,3.0,NO TIMESTAMP,Apps,2016,SF,5
10,3.0,NO TIMESTAMP,Apps,2016,SF,5
8,4.0,NO TIMESTAMP,Apps,2016,SF,5
6,4.0,NO TIMESTAMP,Apps,2016,SF,5
8,3.0,NO TIMESTAMP,Games,2016,SF,5
10,3.0,NO TIMESTAMP,Games,2016,SF,5
2,5.0,NO TIMESTAMP,Games,2016,SF,5
10,3.0,NO TIMESTAMP,Games,2016,SF,5
8,3.0,NO TIMESTAMP,Games,2016,SF,5
10,3.0,NO TIMESTAMP,Games,2016,SF,5
10,2.0,NO TIMESTAMP,Intro,2016,SF,5
8,3.0,NO TIMESTAMP,Intro,2016,SF,5
6,5.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,4.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,2.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
8,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
8,4.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,3.0,NO TIMESTAMP,Intro,2016,SF,5
10,4.0,NO TIMESTAMP,VR,2016,SF,5
10,4.0,NO TIMESTAMP,VR,2016,SF,5
8,4.0,NO TIMESTAMP,VR,2016,SF,5
10,3.0,NO TIMESTAMP,VR,2016,SF,5
6,3.0,NO TIMESTAMP,Intro,2016,SF,5
6,3.0,NO TIMESTAMP,Intro,2016,SF,5
8,3.0,7/22/2016 1:30:17,Unknown,2016,SG,5
8,3.0,7/22/2016 1:36:59,Unknown,2016,SG,5
8,4.0,7/22/2016 1:42:08,Unknown,2016,SG,5
8,3.0,7/22/2016 1:49:13,Unknown,2016,SG,5
8,4.0,7/22/2016 1:50:35,Unknown,2016,SG,5
8,3.0,7/22/2016 3:08:20,Unknown,2016,SG,5
8,3.0,7/22/2016 19:26:57,Unknown,2016,SG,5
6,3.0,7/22/2016 22:37:46,Unknown,2016,SG,5
8,3.0,7/23/2016 18:59:21,Unknown,2016,SG,5
8,3.0,7/23/2016 23:28:39,Unknown,2016,SG,5
4,2.0,7/24/2016 11:16:24,Unknown,2016,SG,5
4,1.0,7/15/2016 13:30:19,Apps,2016,SV,4
6,3.0,7/15/2016 13:31:54,Apps,2016,SV,4
8,4.0,7/15/2016 13:35:36,Apps,2016,SV,4
8,3.0,7/15/2016 13:58:34,Apps,2016,SV,4
10,3.0,7/15/2016 14:01:42,Apps,2016,SV,4
8,3.0,7/15/2016 14:09:14,Apps,2016,SV,4
8,3.0,7/15/2016 14:10:40,Apps,2016,SV,4
8,3.0,7/15/2016 14:15:40,Apps,2016,SV,4
8,2.0,7/15/2016 14:26:18,Apps,2016,SV,4
8,4.0,7/15/2016 15:54:39,Apps,2016,SV,4
6,3.0,7/15/2016 15:54:51,Apps,2016,SV,4
8,4.0,7/15/2016 15:55:54,Apps,2016,SV,4
10,3.0,7/15/2016 15:55:56,Apps,2016,SV,4
8,3.0,7/15/2016 15:56:10,Apps,2016,SV,4
10,3.0,7/15/2016 15:56:18,Apps,2016,SV,4
6,4.0,7/15/2016 15:57:37,Apps,2016,SV,4
8,3.0,7/15/2016 15:57:50,Apps,2016,SV,4
8,4.0,7/15/2016 15:58:36,Apps,2016,SV,4
8,4.0,7/15/2016 15:58:47,Apps,2016,SV,4
8,4.0,7/15/2016 16:03:01,Apps,2016,SV,4
10,3.0,7/15/2016 16:06:23,Apps,2016,SV,4
10,4.0,7/15/2016 16:21:10,Apps,2016,SV,4
10,3.0,7/15/2016 16:23:07,Apps,2016,SV,4
8,4.0,7/15/2016 16:55:20,Apps,2016,SV,4
10,1.0,7/15/2016 17:11:41,Apps,2016,SV,4
10,3.0,7/17/2016 9:52:10,Apps,2016,SV,4
8,3.0,7/18/2016 10:35:56,Apps,2016,SV,4
10,2.0,7/15/2016 13:56:01,Games,2016,SV,4
10,3.0,7/15/2016 13:56:03,Games,2016,SV,4
8,3.0,7/15/2016 13:58:40,Games,2016,SV,4
8,4.0,7/15/2016 14:00:09,Games,2016,SV,4
8,4.0,7/15/2016 14:00:41,Games,2016,SV,4
10,5.0,7/15/2016 15:51:03,Games,2016,SV,4
10,3.0,7/15/2016 15:57:04,Games,2016,SV,4
6,3.0,7/15/2016 15:58:21,Games,2016,SV,4
10,4.0,7/15/2016 14:03:03,Intro,2016,SV,4
6,3.0,8/5/2016 12:34:16,Apps,2016,NY,7
10,3.0,8/5/2016 12:35:50,Apps,2016,NY,7
10,3.0,8/5/2016 12:36:31,Games,2016,NY,7
8,3.0,8/5/2016 12:36:55,Games,2016,NY,7
8,3.0,8/5/2016 12:37:12,Apps,2016,NY,7
8,4.0,8/5/2016 12:37:15,Intro,2016,NY,7
10,3.0,8/5/2016 12:39:02,Apps,2016,NY,7
10,4.0,8/5/2016 12:39:13,Games,2016,NY,7
8,3.0,8/5/2016 12:43:00,Games,2016,NY,7
8,3.0,8/5/2016 12:43:35,Apps,2016,NY,7
10,3.0,8/5/2016 12:45:05,Intro,2016,NY,7
6,3.0,8/5/2016 12:45:58,Games,2016,NY,7
10,4.0,8/5/2016 12:46:09,Games,2016,NY,7
8,3.0,8/5/2016 13:04:11,Apps,2016,NY,7
8,3.0,8/5/2016 13:13:02,Intro,2016,NY,7
8,3.0,8/5/2016 13:37:41,Apps,2016,NY,7
10,4.0,8/5/2016 13:39:55,Intro,2016,NY,7
8,2.0,7/8/2016 10:31:27,Unknown,2016,LA,3
8,4.0,7/8/2016 13:45:52,Unknown,2016,LA,3
8,3.0,7/8/2016 13:47:42,Unknown,2016,LA,3
8,3.0,7/8/2016 13:47:59,Unknown,2016,LA,3
8,3.0,7/8/2016 14:12:24,Unknown,2016,LA,3
10,4.0,7/8/2016 14:13:39,Unknown,2016,LA,3
6,2.0,7/1/2016 6:41:31,Apps,2016,NY,2
6,4.0,7/1/2016 9:27:32,Apps,2016,NY,2
6,5.0,7/1/2016 6:46:34,Games,2016,NY,2
6,3.0,7/1/2016 6:47:56,Games,2016,NY,2
8,3.0,7/1/2016 6:33:45,Apps,2016,NY,2
8,4.0,7/1/2016 6:35:15,Apps,2016,NY,2
8,3.0,7/1/2016 6:36:41,Apps,2016,NY,2
8,3.0,7/1/2016 6:41:43,Apps,2016,NY,2
8,2.0,7/1/2016 7:00:39,Apps,2016,NY,2
8,4.0,7/1/2016 8:58:54,Apps,2016,NY,2
8,3.0,7/1/2016 10:32:25,Apps,2016,NY,2
8,4.0,7/1/2016 6:30:49,Games,2016,NY,2
8,4.0,7/1/2016 6:43:54,Games,2016,NY,2
8,4.0,7/1/2016 7:02:22,Games,2016,NY,2
8,3.0,7/1/2016 6:27:37,Intro,2016,NY,2
8,3.0,7/1/2016 6:31:09,Intro,2016,NY,2
8,4.0,7/1/2016 6:31:31,Intro,2016,NY,2
8,3.0,7/1/2016 6:46:33,Intro,2016,NY,2
10,3.0,7/1/2016 6:27:51,Apps,2016,NY,2
10,3.0,7/1/2016 6:30:01,Apps,2016,NY,2
10,3.0,7/1/2016 6:30:05,Apps,2016,NY,2
10,4.0,7/1/2016 6:33:55,Apps,2016,NY,2
10,3.0,7/1/2016 6:36:10,Apps,2016,NY,2
